Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2026-07-28 10:00:00,2026-07-28 10:05:00,Hetzner Online GmbH,-39.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-01 10:00:00,2026-08-01 10:05:00,Spotify,-9.99,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-07 10:00:00,2026-08-07 10:05:00,Adobe Creative Cloud,-61.50,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-21 10:00:00,2026-08-21 10:05:00,Adobe Creative Cloud,-61.50,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-04 10:00:00,2026-08-04 10:05:00,Coffee Republic,-4.20,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-08 10:00:00,2026-08-08 10:05:00,Coffee Republic,-4.50,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-13 10:00:00,2026-08-13 10:05:00,Coffee Republic,-3.80,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-19 10:00:00,2026-08-19 10:05:00,Coffee Republic,-4.60,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-26 10:00:00,2026-08-26 10:05:00,Coffee Republic,-4.20,0.00,EUR,COMPLETED,0.00
TOPUP,Current,2026-08-05 09:00:00,2026-08-05 09:01:00,Payment from Acme Sp z o o,4000.00,0.00,EUR,COMPLETED,0.00
TOPUP,Current,2026-08-18 09:00:00,2026-08-18 09:01:00,Payment from Beta Corp,500.00,0.00,EUR,COMPLETED,0.00
TOPUP,Current,2026-08-29 09:00:00,2026-08-29 09:01:00,Refund from Allegro,24.99,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-02 10:00:00,2026-08-02 10:05:00,Biedronka,-23.45,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-03 10:00:00,2026-08-03 10:05:00,Orlen,-10.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-05 10:00:00,2026-08-05 10:05:00,Zabka,-18.90,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-06 10:00:00,2026-08-06 10:05:00,Uber,-32.40,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-09 10:00:00,2026-08-09 10:05:00,Bolt,-27.15,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-10 10:00:00,2026-08-10 10:05:00,Allegro,-89.99,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-11 10:00:00,2026-08-11 10:05:00,IKEA,-45.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-12 10:00:00,2026-08-12 10:05:00,Rossmann,-41.20,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-14 10:00:00,2026-08-14 10:05:00,Lidl,-63.75,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-15 10:00:00,2026-08-15 10:05:00,PKP Intercity,-49.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-16 10:00:00,2026-08-16 10:05:00,Empik,-22.50,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-17 10:00:00,2026-08-17 10:05:00,Media Markt,-99.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-20 10:00:00,2026-08-20 10:05:00,Decathlon,-58.30,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-22 10:00:00,2026-08-22 10:05:00,Zara,-79.99,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-23 10:00:00,2026-08-23 10:05:00,H&M,-44.60,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-24 10:00:00,2026-08-24 10:05:00,Apteka Gemini,-31.85,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-25 10:00:00,2026-08-25 10:05:00,Carrefour,-67.40,0.00,EUR,COMPLETED,0.00
